No.,Time,Source,Destination,Protocol,Length,Info
42,0.201372,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5057327 Ack=1 Win=1869 Len=1388 TSval=467202 TSecr=366189654
43,0.201447,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5058715 Ack=1 Win=1869 Len=1388 TSval=467202 TSecr=366189654
44,0.201569,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5060103 Ack=1 Win=1869 Len=1388 TSval=467202 TSecr=366189654
45,0.617908,192.168.0.23,192.168.0.13,TCP,114,[TCP Dup ACK 49#1] 44144  >  9020 [ACK] Seq=1 Ack=10851 Win=32678 Len=0 TSval=472215198 TSecr=8106
46,0.668583,192.168.0.13,192.168.0.23,TCP,847,"9020  >  44144 [PSH, ACK] Seq=10851 Ack=1 Win=1869 Len=733 TSval=8112 TSecr=472215198"
47,0.669151,192.168.0.13,192.168.0.23,TCP,843,"[TCP Retransmission] 9020  >  44144 [PSH, ACK] Seq=10851 Ack=1 Win=1869 Len=733 TSval=8112 TSecr=472215198"
48,0.671328,192.168.0.23,192.168.0.13,TCP,110,44144  >  9020 [ACK] Seq=1 Ack=11584 Win=32678 Len=0 TSval=472215252 TSecr=8112
49,0.671704,192.168.0.23,192.168.0.13,TCP,114,[TCP Dup ACK 53#1] 44144  >  9020 [ACK] Seq=1 Ack=11584 Win=32678 Len=0 TSval=472215252 TSecr=8112
50,0.73059,192.168.0.13,192.168.0.23,TCP,1502,9020  >  44144 [ACK] Seq=11584 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
51,0.730788,192.168.0.13,192.168.0.23,TCP,140,"9020  >  44144 [PSH, ACK] Seq=12972 Ack=1 Win=1869 Len=30 TSval=8118 TSecr=472215252"
52,0.730862,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=13002 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
53,0.730998,192.168.0.13,192.168.0.23,TCP,1502,9020  >  44144 [ACK] Seq=14390 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
54,0.73137,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=15778 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
55,0.731449,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=17166 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
56,0.731578,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=18554 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
57,0.731886,192.168.0.13,192.168.0.23,TCP,1502,9020  >  44144 [ACK] Seq=19942 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
58,0.732124,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=21330 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
59,0.732197,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=22718 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
60,0.732311,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=24106 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
61,0.732707,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=25494 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
62,0.73279,192.168.0.13,192.168.0.23,TCP,1502,9020  >  44144 [ACK] Seq=26882 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
63,0.733187,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=28270 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
64,0.7333,192.168.0.13,192.168.0.23,TCP,1498,9020  >  44144 [ACK] Seq=29658 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
65,0.733933,192.168.0.13,192.168.0.23,TCP,1502,9020  >  44144 [ACK] Seq=31046 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
66,0.735039,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=11584 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
67,0.735124,192.168.0.13,192.168.0.23,TCP,148,"[TCP Retransmission] 9020  >  44144 [PSH, ACK] Seq=12972 Ack=1 Win=1869 Len=30 TSval=8118 TSecr=472215252"
68,0.735194,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=13002 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
69,0.735265,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=14390 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
70,0.735454,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=15778 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
71,0.735527,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=17166 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
72,0.735601,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=18554 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
73,0.735675,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=19942 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
74,0.735749,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=21330 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
75,0.735823,192.168.0.13,192.168.0.23,TCP,1506,[TCP Retransmission] 9020  >  44144 [ACK] Seq=22718 Ack=1 Win=1869 Len=1388 TSval=8118 TSecr=472215252
